reference|marque|modele|annee|couleur|carburant|kilometrage|immatriculation|ville|prix|qte_initial
VEH-126|Mini|Cooper|2016|Orange fusion|GPL|49387|68-ADL-906|Rouen|15321|8
VEH-127|Opel|Mokka|2017|Orange fusion|Diesel|123559|31-GCZ-121|Reims|8952|4
VEH-128|Mini|Countryman|2024|Blanc nacre|Diesel|56140|55-NVY-810|Angers|40996|2
VEH-129|Audi|Q5|2020|Beige sable|Electrique|191206|65-OOK-656|Saint-Etienne|14916|1
VEH-130|Audi|Q5|2022|Beige sable|Essence|171533|25-LZE-205|Hyeres|41650|3
VEH-131|Kia|Ceed|2021|Bleu intense|Electrique|113832|99-VXF-423|Tours|59636|7
VEH-132|Mini|Cooper|2025|Vert olive|Diesel|90262|32-VAZ-791|Rennes|38712|6
VEH-133|Mini|Countryman|2024|Orange fusion|Hybride|31027|84-PEE-340|Nimes|20718|3
VEH-134|Mercedes|GLA|2024|Noir perla|Electrique|149939|84-BMU-589|Metz|46085|5
VEH-135|Mini|Cooper|2023|Vert olive|Hybride|129461|85-PLB-746|Villeurbanne|43020|3
VEH-136|Citroen|C3|2024|Noir perla|Diesel|10430|98-NTD-100|Tours|38026|8
VEH-137|Nissan|Leaf|2016|Argent|Hybride|150455|23-NPX-978|Toulon|32940|3
VEH-138|Fiat|500|2023|Violet royal|GPL|139024|64-IBC-462|Rouen|53902|4
VEH-139|Renault|Arkana|2016|Vert olive|GPL|53815|62-YZR-765|Montpellier|48631|5
VEH-140|Renault|Captur|2021|Beige sable|Essence|62433|29-EAJ-537|Hyeres|19655|4
VEH-141|Opel|Astra|2022|Vert olive|Essence|12218|84-KPB-229|Clermont-Ferrand|33471|3
VEH-142|Audi|Q3|2022|Violet royal|Electrique|115489|61-IGK-290|Metz|22710|3
VEH-143|Peugeot|5008|2023|Argent|Electrique|35352|71-FJS-419|Toulouse|43713|3
VEH-144|Nissan|Leaf|2015|Violet royal|Essence|153162|85-CVH-807|Caen|12238|1
VEH-145|Renault|Arkana|2025|Beige sable|Diesel|151368|12-FXJ-258|Saint-Etienne|46731|1
VEH-146|BMW|Serie 3|2017|Noir perla|Diesel|171695|49-KJY-515|Bordeaux|17266|6
VEH-147|Opel|Astra|2020|Orange fusion|Hybride|104083|69-YZP-200|Metz|29257|5
VEH-148|Mercedes|Classe C|2018|Rouge flamme|Essence|76216|72-QSX-234|Nice|12398|7
VEH-149|Citroen|C3|2019|Orange fusion|Diesel|77080|11-URC-859|Nantes|22738|2
VEH-150|Citroen|C3|2024|Vert olive|Electrique|148092|61-LXD-694|Martigues|11718|4
VEH-151|Renault|Twingo|2019|Vert olive|Hybride|125435|27-WAX-565|Saint-Etienne|39823|7
VEH-152|Renault|Scenic E-Tech|2025|Blanc nacre|Diesel|136917|26-GXI-504|Nantes|45210|6
VEH-153|Citroen|C3|2019|Blanc nacre|GPL|115966|45-BUW-466|Annecy|30293|2
VEH-154|Volkswagen|ID.3|2019|Argent|Electrique|95479|40-VTL-348|Lille|20615|5
VEH-155|Volkswagen|Passat|2020|Argent|GPL|112154|32-EPE-528|Besancon|35699|1
VEH-156|Toyota|RAV4|2022|Violet royal|Diesel|164882|21-HCQ-146|Nimes|9098|8
VEH-157|Volkswagen|Golf|2024|Orange fusion|Electrique|158831|15-NCI-303|Lille|15953|2
VEH-158|Peugeot|208|2025|Orange fusion|Electrique|37429|98-RQT-293|Montpellier|50676|4
VEH-159|Nissan|Micra|2022|Argent|GPL|191774|49-LDT-720|Perpignan|10605|5
VEH-160|Kia|Ceed|2015|Rouge flamme|Hybride|9847|70-WPC-545|Martigues|41790|8
VEH-161|Citroen|C3|2020|Blanc nacre|Hybride|145096|72-ACC-111|Aix-en-Provence|59890|6
VEH-162|Kia|Niro|2017|Beige sable|Electrique|137068|58-NZH-302|Tours|52951|2
VEH-163|Ford|Focus|2024|Beige sable|Essence|35010|58-WUX-492|Saint-Etienne|55727|7
VEH-164|Mercedes|Classe A|2020|Orange fusion|Electrique|91292|78-NXF-169|Grenoble|13317|1
VEH-165|Volkswagen|Polo|2024|Rouge flamme|Hybride|150493|79-EGX-524|Strasbourg|45609|6
VEH-166|Toyota|Yaris Hybrid|2025|Argent|GPL|41369|77-YAZ-196|Rouen|27766|1
VEH-167|Mercedes|Classe C|2023|Bleu intense|Electrique|28653|47-TDI-914|Martigues|31695|8
VEH-168|BMW|X3|2019|Vert olive|Diesel|192240|97-MMS-291|Montpellier|52484|5
VEH-169|Kia|Picanto|2018|Rouge flamme|Diesel|12572|91-YQI-854|Reims|47905|1
VEH-170|Volkswagen|T-Roc|2015|Vert olive|Electrique|185596|52-LRE-866|Hyeres|23083|5
VEH-171|Mercedes|GLC|2016|Vert olive|Electrique|18410|93-KJL-419|Rouen|25323|5
VEH-172|Mercedes|GLA|2017|Beige sable|Electrique|118904|48-DUW-848|Clermont-Ferrand|18703|4
VEH-173|Citroen|C4|2016|Blanc nacre|Electrique|115479|15-HCX-458|Saint-Etienne|42746|8
VEH-174|Mini|Countryman|2018|Argent|Essence|168178|74-GOG-581|Caen|22820|7
VEH-175|Hyundai|Tucson|2019|Bleu intense|Hybride|60149|21-JHG-114|Perpignan|45230|7
VEH-176|Nissan|Juke|2021|Orange fusion|Diesel|185273|50-FEV-233|Annecy|45855|4
VEH-177|Seat|Leon|2015|Bleu intense|Diesel|130423|50-FLR-584|Clermont-Ferrand|54653|4
VEH-178|Audi|A3|2025|Violet royal|Hybride|73670|91-HDU-104|Rennes|39292|2
VEH-179|Fiat|500|2023|Violet royal|Essence|65079|15-IIG-370|Villeurbanne|27802|8
VEH-180|Ford|Puma|2018|Violet royal|Electrique|94028|53-FTF-983|Clermont-Ferrand|48262|5
VEH-181|Hyundai|i30|2025|Argent|Electrique|199721|23-EZQ-925|Brest|23983|2
VEH-182|BMW|X3|2023|Vert olive|GPL|193022|52-MTM-445|Caen|16619|1
VEH-183|Audi|Q3|2018|Beige sable|Hybride|53788|82-TPF-528|Perpignan|25997|2
VEH-184|Mercedes|GLC|2023|Rouge flamme|Hybride|49205|89-BRI-972|Montpellier|41604|5
VEH-185|Hyundai|Ioniq 5|2019|Beige sable|GPL|193436|36-SSL-159|Mulhouse|26196|7
VEH-186|Nissan|Juke|2022|Gris platine|Electrique|63594|98-IJI-163|Toulouse|34618|8
VEH-187|Audi|Q2|2019|Gris platine|Hybride|53221|21-KBX-694|Caen|31731|7
VEH-188|Nissan|Micra|2025|Argent|Essence|118552|41-FZN-639|Caen|57683|5
VEH-189|Opel|Astra|2025|Blanc nacre|Essence|77781|71-SVZ-679|Limoges|48854|6
VEH-190|Fiat|600|2017|Argent|Diesel|170411|94-SBT-952|Paris|33683|3
VEH-191|Kia|Niro|2018|Noir perla|GPL|9893|19-LJJ-570|Le Mans|31552|6
VEH-192|Ford|Mustang Mach-E|2020|Orange fusion|GPL|160668|52-KFC-994|Rennes|40762|7
VEH-193|Toyota|RAV4|2024|Noir perla|Hybride|31472|14-RHC-472|Strasbourg|53440|3
VEH-194|Renault|Kadjar|2015|Rouge flamme|GPL|113727|15-CQT-436|Toulon|22179|1
VEH-195|BMW|Serie 3|2022|Orange fusion|Diesel|24187|39-QPG-119|Tours|51008|4
VEH-196|Peugeot|5008|2016|Vert olive|GPL|196495|33-DUE-265|Annecy|42163|3
VEH-197|Peugeot|208|2024|Rouge flamme|Hybride|63159|67-QYU-311|Saint-Etienne|58192|5
VEH-198|Dacia|Duster|2018|Noir perla|GPL|30311|74-JNH-217|Rennes|50524|7
VEH-199|Toyota|Corolla|2016|Orange fusion|Diesel|117519|62-VYY-158|Hyeres|20016|8
VEH-200|Mercedes|Classe A|2018|Vert olive|Diesel|5156|81-MMD-977|Strasbourg|41516|2
VEH-201|Peugeot|2008|2020|Argent|Hybride|111782|64-TOF-765|Angers|13338|7
VEH-202|Opel|Corsa|2017|Argent|Electrique|44426|87-BBH-449|Nimes|20822|3
VEH-203|Mercedes|Classe C|2016|Argent|GPL|89030|33-OUI-130|Brest|11609|6
VEH-204|Renault|Clio V|2024|Violet royal|GPL|55259|69-ZPX-842|Lille|12197|2
VEH-205|Toyota|Yaris Hybrid|2017|Bleu intense|Hybride|164410|74-NGJ-208|Hyeres|57907|2
VEH-206|Toyota|RAV4|2019|Vert olive|GPL|41231|72-CXL-922|Nimes|41380|7
VEH-207|Hyundai|Ioniq 5|2025|Vert olive|Electrique|61906|63-JQJ-146|Besancon|57250|1
VEH-208|Peugeot|5008|2022|Vert olive|Essence|49943|87-NMU-528|Lille|29467|3
VEH-209|BMW|Serie 1|2022|Orange fusion|GPL|7084|85-VKJ-561|Martigues|54531|1
VEH-210|BMW|X3|2021|Beige sable|GPL|58767|98-WAV-945|Villeurbanne|20676|8
VEH-211|Peugeot|208|2024|Noir perla|Hybride|42695|49-BID-740|Limoges|10523|8
VEH-212|Kia|Niro|2025|Argent|Essence|180784|12-LIP-428|Annecy|12376|2
VEH-213|Seat|Arona|2022|Argent|GPL|51857|48-CEL-946|Le Havre|45780|8
VEH-214|Opel|Grandland|2015|Beige sable|Diesel|146574|20-VMX-672|Metz|53196|5
VEH-215|Citroen|C3|2018|Argent|GPL|87032|27-XDR-269|Metz|20471|6
VEH-216|Kia|Ceed|2015|Rouge flamme|Essence|63325|72-TVZ-685|Clermont-Ferrand|19718|1
VEH-217|Mini|Cooper|2021|Beige sable|Hybride|52144|96-QBC-431|Besancon|36216|5
VEH-218|Peugeot|2008|2024|Noir perla|Electrique|48769|72-ZMD-118|Annecy|44088|8
VEH-219|Citroen|C5 Aircross|2018|Gris platine|Essence|155438|34-KAX-147|Reims|22809|1
VEH-220|BMW|Serie 3|2016|Blanc nacre|Electrique|123811|99-VHY-597|Bordeaux|49151|7
VEH-221|Dacia|Sandero|2022|Bleu intense|GPL|137106|36-FWJ-532|Metz|56936|6
VEH-222|Opel|Corsa|2017|Noir perla|Hybride|183021|36-JBV-658|Bordeaux|44680|5
VEH-223|Opel|Corsa|2023|Gris platine|Essence|168721|63-APS-925|Aix-en-Provence|10783|4
VEH-224|Peugeot|408|2023|Gris platine|Electrique|117570|55-YIL-468|Nantes|43569|7
VEH-225|Toyota|Aygo X|2017|Orange fusion|GPL|40868|79-JWX-938|Perpignan|32337|7
VEH-226|Nissan|Juke|2018|Argent|GPL|91208|38-OSF-284|Aix-en-Provence|17659|8
VEH-227|Nissan|Micra|2019|Beige sable|Essence|99511|20-WCA-854|Clermont-Ferrand|34734|5
VEH-228|Mini|Clubman|2015|Argent|Diesel|10173|13-IEO-497|Clermont-Ferrand|47971|6
VEH-229|Ford|Puma|2017|Gris platine|Essence|173853|52-SVU-653|Limoges|46627|6
VEH-230|Toyota|Aygo X|2022|Beige sable|GPL|61255|26-LJG-543|Annecy|36418|8
VEH-231|Kia|EV6|2022|Noir perla|Diesel|155813|69-VAK-566|Saint-Etienne|36923|3
VEH-232|Ford|Kuga|2020|Violet royal|Essence|196056|43-OKS-930|Bordeaux|38577|4
VEH-233|Seat|Ateca|2017|Gris platine|GPL|118514|58-BZQ-725|Montpellier|9547|5
VEH-234|Hyundai|i20|2017|Gris platine|GPL|109667|81-KNI-952|Amiens|38836|7
VEH-235|Renault|Kadjar|2025|Blanc nacre|Hybride|117068|87-WFS-297|Perpignan|33559|8
VEH-236|Mini|Cooper|2020|Violet royal|Hybride|185405|96-UFV-337|Clermont-Ferrand|26907|1
VEH-237|Peugeot|408|2016|Beige sable|Hybride|123796|50-ZCM-237|Lille|39065|2
VEH-238|Audi|A1|2016|Violet royal|Hybride|79905|39-DUY-847|Angers|46939|5
VEH-239|Nissan|Leaf|2016|Noir perla|Hybride|115254|59-KML-815|Nimes|10959|6
VEH-240|Audi|Q5|2016|Bleu intense|Hybride|19582|10-SAK-175|Rouen|38299|3
VEH-241|Fiat|500|2018|Blanc nacre|Electrique|122012|90-NGH-644|Amiens|48743|7
VEH-242|Mini|Countryman|2016|Blanc nacre|GPL|76269|22-RVQ-970|Bordeaux|9900|6
VEH-243|Seat|Leon|2021|Bleu intense|Electrique|38641|94-XFL-698|Le Mans|11158|7
VEH-244|Renault|Captur|2022|Orange fusion|Essence|96230|98-TWM-791|Le Havre|46298|2
VEH-245|Toyota|Corolla|2025|Noir perla|Diesel|185953|83-KZZ-163|Bordeaux|50321|1
VEH-246|Mercedes|Classe A|2016|Beige sable|GPL|76396|18-GNG-913|Hyeres|55799|7
VEH-247|Nissan|Leaf|2018|Orange fusion|Essence|85786|49-VIF-229|Nantes|42445|4
VEH-248|Ford|Focus|2021|Blanc nacre|Essence|80563|80-FFS-362|Caen|58746|5
VEH-249|Mercedes|Classe C|2017|Gris platine|Essence|166454|73-LKC-517|Rouen|27992|3
VEH-250|Renault|Kadjar|2021|Beige sable|Electrique|110405|89-SFQ-419|Aix-en-Provence|43935|3
VEH-251|Hyundai|Tucson|2017|Beige sable|GPL|176138|47-CBW-689|Nice|9689|7
VEH-252|Peugeot|2008|2025|Beige sable|GPL|45286|50-GPK-211|Reims|14333|4
VEH-253|Renault|Scenic E-Tech|2020|Bleu intense|Electrique|59041|73-PVP-851|Hyeres|25093|1
VEH-254|Volkswagen|T-Roc|2023|Rouge flamme|GPL|43240|60-PFS-649|Aix-en-Provence|57998|5
VEH-255|Peugeot|308|2024|Argent|Diesel|22155|82-MFE-884|Annecy|16550|5
VEH-256|Seat|Arona|2017|Vert olive|Hybride|36728|65-NXV-790|Valence|42187|2
VEH-257|Kia|Picanto|2024|Argent|Essence|44800|65-XRF-693|Le Havre|49326|3
VEH-258|Fiat|600|2024|Argent|Diesel|108935|77-QFQ-918|Angers|20457|3
VEH-259|Kia|Sportage|2025|Blanc nacre|Diesel|114227|37-CMY-109|Villeurbanne|9631|1
VEH-260|Kia|Niro|2022|Bleu intense|Electrique|193381|31-NGG-657|Toulon|20411|5
VEH-261|Kia|Sportage|2024|Rouge flamme|Electrique|63055|35-UGN-797|Marseille|52016|2
VEH-262|Ford|Mustang Mach-E|2024|Noir perla|GPL|15893|64-YGD-412|Annecy|38949|3
VEH-263|Peugeot|408|2017|Noir perla|Diesel|171075|27-COT-385|Aix-en-Provence|15168|1
VEH-264|Nissan|Micra|2015|Gris platine|Diesel|169690|16-KUG-439|Amiens|54018|7
VEH-265|Fiat|Tipo|2016|Blanc nacre|Essence|95333|43-QLI-996|Valence|28665|8
VEH-266|Toyota|Yaris Hybrid|2021|Rouge flamme|Essence|125085|55-QUZ-855|Annecy|29049|7
VEH-267|Seat|Ibiza|2022|Violet royal|GPL|42880|91-DYH-465|Dijon|11182|2
VEH-268|Mercedes|GLC|2021|Argent|Electrique|98523|65-BCE-242|Rouen|15609|2
VEH-269|Ford|Kuga|2020|Rouge flamme|Electrique|137981|69-EZR-843|Saint-Etienne|12530|2
VEH-270|Audi|A1|2018|Rouge flamme|Diesel|60589|73-FVR-256|Brest|24173|7
VEH-271|Toyota|Yaris Hybrid|2017|Gris platine|GPL|159738|20-DUG-518|Annecy|42314|1
VEH-272|Mercedes|Classe A|2025|Violet royal|Essence|11598|15-AXF-449|Tours|43683|8
